approve,id,tier,reason,value,suggestion,confidence,entry_id,field_path,context_before,context_after,occurrences
,cand-3936955,1,digit_in_letter,exhai2stive,exhai2stive,0.45,schaff-herzog.adolf-freiherr-von,definition_blocks[5],irchenrechUicher Abhandhmgen (1873). An,summary is contributed by his very exce,1
,cand-3936967,1,digit_in_letter,9eine,9eine,0.45,schaff-herzog.adolf-freiherr-von,definition_blocks[5],llent Das gemeine deutsche Eherecht und,Umbildung durch das R.-G. vcm 6. Februo,1
,cand-3734769,1,digit_in_letter,OX78TAV,OX7STAV,0.45,schaff-herzog.adolf-hbbmann-heihbioh-kaxp,definition_blocks[6],PETEB,"KAWBRAXT, ThJ).,",1
,cand-4577931,1,digit_in_letter,KAUTZ8CH,KAUTZSCH,0.45,schaff-herzog.adolf-hermann-heinrich,definition_blocks[2],EMIL FRIEDRICH,"(f), Ph.D., Th.D.,",1
,cand-4778034,1,digit_in_letter,euchari8tic,euchariStic,0.45,schaff-herzog.ahfrid-strabo,definition_blocks[1],us iconolatry and Greek iconoclasm; his,doctrine was evidently not the transubs,1
,cand-3735161,1,digit_in_letter,008TEBZEE,OOSTEBZEE,0.45,schaff-herzog.albebt-henby-newman-d-d-llj,definition_blocks[4],JAN JAOOB VAN,"(f), PI&.D.9 Th.D.y",1
,cand-80826,1,digit_in_letter,Mo7Uantsmu8,Mo7UantsmuS,0.45,schaff-herzog.albert,definition_blocks[0],"t the university, and studied with seal",und die christliche Kirche des zweUen J,1
,cand-80840,1,digit_in_letter,Le6en,Le6en,0.45,schaff-herzog.albert,definition_blocks[0],"erU (TQbingen, 1841). Through Strauss's",Jesu and other studies he found himself,1
,cand-90810,1,digit_in_letter,9chaide,9chaide,0.45,schaff-herzog.alexander,definition_blocks[18],"rit, were the following: (1) Vom unter-",dea worts OoUes und der Heyligen Schrif,1
,cand-91852,1,digit_in_letter,8chen,Schen,0.45,schaff-herzog.alexander,definition_blocks[29],l transformation (jChriMchen orthodoxir,"BUcher, pp. 218, 230). Schwenckfeld sha",1
,cand-2413253,1,digit_in_letter,ALI8T8,ALISTS,0.45,schaff-herzog.ali8t8,term,,,1
,cand-3739215,1,digit_in_letter,185fih69,ISSfih69,0.45,schaff-herzog.alko,definition_blocks[45],\,"Ckron Chronicon, "" Chronicle",1
,cand-112235,1,digit_in_letter,15ten,ISten,0.45,schaff-herzog.alzog-johann-baptist,definition_blocks[0],"burg, 1866); Die deutschen Plenarien im",und zu Anfang des 16ten Jahrhunderts (1,1
,cand-112241,1,digit_in_letter,16ten,I6ten,0.45,schaff-herzog.alzog-johann-baptist,definition_blocks[0],en Plenarien im 15ten und zu Anfang des,Jahrhunderts (1874).,1
,cand-4695137,1,digit_in_letter,8teffens,Steffens,0.45,schaff-herzog.and-counter-reformation-in,definition_blocks[9],"ntioiurberichte aue der Schweie, ed. F.","and H. Reinhaidt, vol. L, Solothom, 190",1
,cand-4831451,1,digit_in_letter,Years1,YearsI,0.45,schaff-herzog.angelius-von,definition_blocks[5],on the incompatibility of the Thirty,War,1
,cand-1938420,1,digit_in_letter,Le6,Le6,0.45,schaff-herzog.antoine,definition_blocks[2],otary (1574). His most notable work is:,Adeaet gestea merveiUeux de la cU4 de G,1
,cand-1938425,1,digit_in_letter,cU4,cU4,0.45,schaff-herzog.antoine,definition_blocks[2],is: Le6 Adeaet gestea merveiUeux de la,"de Genkve (ed. G. Revilliod, Geneva, 18",1
,cand-2812267,1,digit_in_letter,ARI8TB,ARISTB,0.45,schaff-herzog.ari8tb,term,,,1
,cand-2812537,1,digit_in_letter,ehritUich0,ehritUichO,0.45,schaff-herzog.ari8tb,definition_blocks[6],"OnUn und KonoregaHontH; Q. Uhlhorn, Dis","Lit/betiSAtiokea im MiUtUiiUr, pp. 272-",1
,cand-244944,1,digit_in_letter,practica1,practicaI,0.45,schaff-herzog.asceticism,definition_blocks[10],nly it should be added that the ascetic,proof must never become a law; it calls,1
,cand-1670776,1,digit_in_letter,G6ttingen,G6ttingen,0.45,schaff-herzog.august-eduard,definition_blocks[29],"15, 1814; d. at","Mar. 20, 1878. He was educated at Mannh",1
,cand-2855827,1,digit_in_letter,no8,noS,0.45,schaff-herzog.auguste,definition_blocks[2],"e mildeu du dix-huitihne sikcU jusqu'd,","jours (3 vols., Paris, 1873; Eng. trans",1
,cand-2855860,1,digit_in_letter,g4n6ral,g4n6ral,0.45,schaff-herzog.auguste,definition_blocks[2],as also owing to his efforts as Conseil,des facult^s and as member of the Conse,1
,cand-309259,1,digit_in_letter,52rr,S2rr,0.45,schaff-herzog.baalbek,definition_blocks[4],ninus Pius (138-161) by John Malala (c.,600); only six columns and their entabl,1
,cand-1659819,1,digit_in_letter,Bois6,Bois6,0.45,schaff-herzog.bblls-mtron,definition_blocks[0],pastor of the Congregational Church at,"aty, Ida., 1872-74, and after 1874 was",1
